Next Price,Date,index,Random Forest,Fold,Close,20-SMA Change
continuous,time,continuous,continuous,discrete,continuous,continuous
class,meta,meta,meta,meta,,
3.56131,2023-02-07 00:00:00,1300,3.55515,1,3.51623,-0.0276335
3.56883,2023-02-08 00:00:00,1301,3.56455,1,3.56131,-0.0154742
3.53877,2023-02-09 00:00:00,1302,3.58576,1,3.56883,-0.0131921
3.52375,2023-02-10 00:00:00,1303,3.56578,1,3.53877,-0.0197709
3.53877,2023-02-13 00:00:00,1304,3.59887,1,3.52375,-0.0226113
3.50872,2023-02-14 00:00:00,1305,3.57971,1,3.53877,-0.0165987
3.47115,2023-02-15 00:00:00,1306,3.51218,1,3.50872,-0.0225014
3.51623,2023-02-16 00:00:00,1307,3.53869,1,3.47115,-0.0302267
3.56131,2023-02-17 00:00:00,1308,3.57728,1,3.51623,-0.0171165
3.54629,2023-02-20 00:00:00,1309,3.56455,1,3.56131,-0.00482896
3.53126,2023-02-21 00:00:00,1310,3.56758,1,3.54629,-0.00933996
3.5538,2023-02-22 00:00:00,1311,3.58836,1,3.53126,-0.0129162
3.53126,2023-02-23 00:00:00,1312,3.56455,1,3.5538,-0.00515293
3.50872,2023-02-24 00:00:00,1313,3.58836,1,3.53126,-0.00927496
3.42607,2023-02-27 00:00:00,1314,3.51883,1,3.50872,-0.0131024
3.57634,2023-02-28 00:00:00,1315,3.53025,1,3.42607,-0.0336936
3.62142,2023-03-01 00:00:00,1316,3.66948,1,3.57634,0.0100797
3.56883,2023-03-02 00:00:00,1317,3.65196,1,3.62142,0.0233546
3.59137,2023-03-03 00:00:00,1318,3.60141,1,3.56883,0.00913533
3.59888,2023-03-06 00:00:00,1319,3.65293,1,3.59137,0.0150776
3.46364,2023-03-07 00:00:00,1320,3.65293,1,3.59888,0.0160144
3.44861,2023-03-08 00:00:00,1321,3.5588,1,3.46364,-0.0208155
3.35845,2023-03-09 00:00:00,1322,3.5588,1,3.44861,-0.0234042
3.44861,2023-03-10 00:00:00,1323,3.34232,1,3.35845,-0.0465018
